model,params,tokens,val_loss,time_sec,speed_tok_sec
Tiny,1034132,100007936,3.646451683044434,14.760698556900024,6775284.761387554
Small,5931540,100007936,3.6452622413635254,30.968963623046875,3229295.5365666426
Medium,26044308,100007936,2.6514554977416993,84.5212287902832,1183228.609325391
Large,49895508,100007936,2.031265850067139,147.41887259483337,678393.032314541
Tiny,1034132,100007936,3.637304468154907,14.533556938171387,6881174.128635781
Small,5931540,100007936,3.646710166931152,30.882976293563843,3238286.8493423713
Medium,26044308,100007936,3.3811720561981202,84.61529755592346,1181913.1869612976
Large,49895508,100007936,1.800516004562378,148.61857533454895,672916.7990937633
