model,params,tokens,val_loss,val_acc,time_sec
Tiny,1033472,100000000,1.6818008899688721,0.5517340087890625,18.175365447998047
Small,6535296,130705920,1.6463334131240845,0.5533309936523437,38.92587494850159
Medium,26180608,523612160,1.1699705410003662,0.6639639282226563,286.1485204696655
Tiny,1033472,500039680,1.221732153892517,0.6529061889648438,43.95095610618591
Small,6535296,1307181056,0.9924765396118164,0.7126214599609375,294.8024699687958
Medium,26180608,5236195328,0.8407581305503845,0.7539181518554687,2756.6888477802277
Large,50437120,10087432192,0.8165056252479553,0.7610400390625,9202.410612344742
